Avenue H,,B (BMT),Brighton Line,Q,1907[9]
Avenue I,,B (IND),Culver Line,F,"March 16, 1919[10]"
Avenue J,,B (BMT),Brighton Line,Q,1907[9]
Avenue M,,B (BMT),Brighton Line,Q,1907[9]
Avenue N,,B (IND),Culver Line,F,"March 16, 1919[10]"
Avenue P,,B (IND),Culver Line,F,"March 16, 1919[10]"
Avenue U,,B (BMT),Brighton Line,Q,1907[9]
Avenue U,,B (IND),Culver Line,F,"May 10, 1919[10]"
Avenue U,,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
Avenue X,,B (IND),Culver Line,F,"May 10, 1919[10]"
Bay 50th Street,,B (BMT),West End Line,D,"July 21, 1917[9]"
Bay Parkway,,B (IND),Culver Line,F,"March 16, 1919[10]"
Bay Parkway,,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
Bay Parkway,,B (BMT),West End Line,D,"June 29, 1916[9]"
Bay Ridge Avenue,,B (BMT),Fourth Avenue Line,R,"January 15, 1916[9]"
Bay Ridge–95th Street†,,B (BMT),Fourth Avenue Line,R,"October 31, 1925[9]"
Bedford Avenue‡,,B (BMT),Canarsie Line,L,"June 30, 1924[9]"
Bedford–Nostrand Avenues,,B (IND),Crosstown Line,G,"July 1, 1937[10]"
Bergen Street,,B (IND),Culver Line,"F 
   G","March 20, 1933[10]"
Bergen Street,,A (IRT),Eastern Parkway Line,"2 
   3 
   4","October 10, 1920[12]"
Beverley Road,,B (BMT),Brighton Line,Q,1907[9]
Beverly Road,,A (IRT),Nostrand Avenue Line,"2 
   5","August 23, 1920[8]"
Borough Hall*[^ 7],,A (IRT),Broadway–Seventh Avenue Line,"2 
   3","April 15, 1919[8]"
Borough Hall*‡[^ 7],(N),A (IRT),Eastern Parkway Line,"4 
   5","January 9, 1908[8]"
Botanic Garden*[^ 8],,B (BMT),Franklin Avenue Line,S,1928
Brighton Beach**†,,B (BMT),Brighton Line,"B 
   Q","April 22, 1917[9]"
Broadway,,B (IND),Crosstown Line,G,"July 1, 1937[10]"
