service_id,date,exception_type
QV_C6-Weekday,20160815,1
QV_C6-Weekday-BM,20160814,1
QV_C6-Weekday,20160816,1
QV_C6-Weekday-BM,20160815,1
QV_C6-Weekday,20160817,1
QV_C6-Weekday-BM,20160816,1
QV_C6-Weekday,20160818,1
QV_C6-Weekday-BM,20160817,1
QV_C6-Weekday,20160819,1
QV_C6-Weekday-BM,20160818,1
QV_C6-Weekday,20160822,1
QV_C6-Weekday-BM,20160821,1
QV_C6-Weekday,20160823,1
QV_C6-Weekday-BM,20160822,1
QV_C6-Weekday,20160824,1
QV_C6-Weekday-BM,20160823,1
QV_C6-Weekday,20160825,1
QV_C6-Weekday-BM,20160824,1
QV_C6-Weekday,20160826,1
QV_C6-Weekday-BM,20160825,1
QV_C6-Weekday,20160829,1
QV_C6-Weekday-BM,20160828,1
QV_C6-Weekday,20160830,1
QV_C6-Weekday-BM,20160829,1
QV_C6-Weekday,20160831,1
QV_C6-Weekday-BM,20160830,1
QV_C6-Weekday,20160901,1
QV_C6-Weekday-BM,20160831,1
QV_C6-Weekday,20160902,1
QV_C6-Weekday-BM,20160901,1
